City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Grand-Santi,GF,77.79,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
364,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
367,Prachuap Khiri Khan,TH,75.69,clear sky,12.2167,99.75,ผกากรองรีสอร์ท
368,Anloga,GH,80.96,clear sky,5.7947,0.8973,Pin Drop Hotel
369,Fomboni,KM,82.62,light rain,-12.28,43.7425,Auberge les abou
370,Hobyo,SO,77.36,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
375,Mercedes,AR,84.51,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
380,Mazamari,PE,79.54,scattered clouds,-11.3258,-74.5308,Hospedaje Ratto
388,Abong Mbang,CM,70.25,broken clouds,3.9833,13.1833,Auberge Angle Sur
390,Namatanai,PG,79.0,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
394,Padang,ID,76.41,overcast clouds,-0.9492,100.3543,Mercure Padang
396,Poum,NC,80.38,overcast clouds,-20.2333,164.0167,Gîte kajeon
398,La Peca,PE,86.5,light rain,-5.6111,-78.435,Hospedaje San Miguelito
399,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
408,Ilhabela,BR,79.99,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
411,Baní,DO,85.44,clear sky,18.2833,-70.3333,Hospedaje Henriquez
413,Inhambane,MZ,76.77,light rain,-23.865,35.3833,Oceano
418,Santa Isabel Rio Negro,BR,86.32,few clouds,-0.4139,-65.0192,Hotel GSA
419,Tamandaré,BR,82.49,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
420,Ugoofaaru,MV,81.37,overcast clouds,5.6667,73.0,Ungoofaaru Inn
426,Kankan,GN,77.5,clear sky,10.3854,-9.3057,Hotel Bate
428,Mahébourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
429,Hirara,JP,71.22,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
431,Cândido Mendes,BR,78.84,broken clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
433,Wajir,KE,87.94,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
437,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
439,Domingos Martins,BR,77.81,broken clouds,-20.3633,-40.6592,Hotel Recanto Europeu
442,Innisfail,AU,75.51,overcast clouds,-17.5333,146.0333,Moondarra Motel
446,Lampa,CL,89.08,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
449,Morro Bay,US,73.26,clear sky,35.3658,-120.8499,Inn at Morro Bay
453,Careiro da Várzea,BR,86.63,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
454,Sarh,TD,73.31,clear sky,9.1429,18.3923,Domicile 1sur le goudron
455,La Libertad,EC,83.86,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
456,Port Keats,AU,80.17,moderate rain,-14.25,129.55,TDC Village (Hundred Man Camp)
460,Guánica,PR,84.61,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
462,Ixtapa,MX,79.83,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
463,Sinnamary,GF,78.44,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
468,Takoradze,GH,79.47,clear sky,4.8845,-1.7554,Raybow International Hotel
470,Bom Jardim,BR,86.34,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
473,Belmonte,BR,82.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
475,Tual,ID,82.83,light rain,-5.6667,132.75,Grand Vilia Hotel
478,Muisne,EC,78.91,light rain,0.6,-80.0333,Quinta Samay
484,Vallenar,CL,82.69,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
489,Kavaratti,IN,79.81,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
490,Vieques,PR,83.84,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
492,Port Shepstone,ZA,72.68,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
494,Mormugao,IN,71.31,overcast clouds,15.4,73.8,Coconut Creek Resort
